report_date,stock_code,company,fetch_status,published_wib,source,flags,title,link
2026-09-21,TPIA,Chandra Asri,ok,22 Sep 12:46 WIB,stockwatch.id,,"IHSG Sesi I Anjlok 1,11% ke Level 6.313, Saham BYAN dan TPIA Tertekan",https://news.google.com/rss/articles/CBMikwFBVV95cUxPQ3ZpMEpobkhKdWZJQ1ZnQ0ZsMkE3Tm1RSV9jUkhDYTlhNWhoZDczVzZOeTc1bXktSmQ5aEFPNDZaMzdicUNYSmQzX205NjQydGVTRmlrSDFTR0dncHhsU3RlbjNmdUE1b0ZOUkFvQ3hkXzBIRGZxQVQybnhCWmhfOVZjbkpZQjAwX0F0S0FwSWlpUlE?oc=5
2026-09-21,TPIA,Chandra Asri,ok,22 Sep 12:39 WIB,pasardana.id,,"Dari Back Office ke Strategic Business Partner, CASS Dukung Transformasi Chandra Asri Group",https://news.google.com/rss/articles/CBMixAFBVV95cUxQdVNQeTJEemNEQ1pRR3VYTXk0eE1HM21pazU5aE42czBMNFREdFJXOHFWa3Jvb3hwbnJPbjdIamJMdFR2bkVORDI5T1l1OFlfU2tVQzNhWUxKN0F3UWQxLTZoUFVHMGJhTm9FMC1iUXRYOWNYR0VDUW9WTkoxS3AyT0lRRTVEZVhDcVVfOFd1TjBmTGJJRXlSSkVTMlBSeXl0MUNTZGJnYUtpRXVwNkVpTnpxVnVldWtkUDNSSXROeVlnczZ3?oc=5
2026-09-21,TPIA,Chandra Asri,ok,22 Sep 12:09 WIB,investasi.kontan.co.id,,"Chandra Asri Group Dorong CASS Jadi Mitra Strategis, Bidik Integrasi IT pada 2027",https://news.google.com/rss/articles/CBMitwFBVV95cUxPUjR5MWtGbzlRWklScGYtUDduTnJSaFdkWG1wejZWdDRqZFV3Ump1bUdVYUZvMnJyelpmd1VIVEFJcFo1dUJ3WlpRZ3ctbzItWV9jUVRBaTRueTZERGwwUGFnQnMzTkU3V2FsbE5GcUNqMG1pU2hHZ2lZYVUzbWttVG9sc2FsdWRoUkxiWlJvSFZ1VW9qaDR6bmRIYVBmb3lVelRVbUN2UGd2dllZS3loQ05pYklUVGvSAa8BQVVfeXFMTnE0OVBMZElWRkhVbDltM0p5VTBYRTA1SlZHMmdGMFA1b2NqT0d0NHBkb0kxM0d0MDhoZUVhNnRFRllPaVpXYXoyVU5MTDQ2Q0hnb24yaWlOWlZXOHdmZHlwZHBKVXZmcHAxbTh3c2ExVFgxcWdXSkUtSHZydnkzNFJfdGt6M2N6X09yUDBQZUNWbW9sbjFWM0c4cHFCWkVoZnpUUzYxdGtMdmJYY3c2QQ?oc=5
2026-09-21,TPIA,Chandra Asri,ok,22 Sep 10:00 WIB,Liputan6.com,,"Rekomendasi Saham Hari Ini 22 September 2026: TPIA, ARKO, COIN hingga MEDC",https://news.google.com/rss/articles/CBMitgFBVV95cUxPMEg4Vm56bFRxRmNoQlpyTWZfM3hxT2M5c1VnTnBRbVhUME1uallBV0ZxenlQMDBCNUxOZjV5UmZEV2NhZTBVU2JFVGZnY05iRlZxTjF1dnVzV0NZXzZ2OXVzZmVSdW5XWEI1NG9WRnNmY2h5Y1ZNaWF6TG0tbzVCNkpPeEZabmRFcDdLMTc3Qmlwa2dVcExwcjY3WFFqdThPQ1B5RzA0QXd3ZW1nUk1kVFJMOVVRUdIBrAFBVV95cUxQM0plRzVfaVF5MW1aV2VFYUN2Y2kzZVAwOVlYNkd3T3VmSnFyU2ZtQkFkTlZFNGc5TlpRTThKZ1RxZzRYU2VINFZkTHBIM1dDcmRhdkF5Sk5HRUNsWFB3M3M0RzAtT01TYVdVZzk4NFktamNXSGRLNnRwcUJpSm42X3FpYTZwaEtuaXRoeVNlY1doSlN0THktMGI1ZnNOM2Juclp3OE44S0RMZ1Nt?oc=5
2026-09-21,TPIA,Chandra Asri,ok,22 Sep 08:13 WIB,TopBusiness.id,,"Kans Pasar Masih Cenderung Melemah, Berikut Saham Pilihan Hari Ini: TPIA, BULL, BIPI, ARKO, MEDC, dan COIN",https://news.google.com/rss/articles/CBMi1AFBVV95cUxNSGZ2RXBZbXZaOTVaQmtlaThLRlZOa2dpSDltZmhfQl9CYnh5d1htLTBMZDBrNld2ZWV3eXdhczllWFYwY0VCU3BNYkkzcG9CZWhfVlU5T01QUDEwWjdfRndudHlQX1JiWHVKZlR5RkNEVmQxRFlsWlVESU01bXBoMzc4cmotZGRxWVdJSjg5LVRtUWYwLXVxNGI1QzR2R29iVThVVDJMZUVuOUx3dVMtM3FiaEFObUhNdG5VVW1WMGhORzhQQ3hBcXVYRzhnNnhDQlFLNw?oc=5
2026-09-21,BBRI,Bank Rakyat Indonesia,ok,22 Sep 13:03 WIB,investor.id,,"Saham BBRI Putar Arah, Harga Masih Bisa Mentok",https://news.google.com/rss/articles/CBMihgFBVV95cUxOd19PcXJyMVZCVy15dU1MSUFPNF9PLTNyaWZEb1Ywc2hTenp0WjUtSzFfYm1ObFVTNm1PQmxSdHdHY3d4TWRqMWg0OW9VSWZkYVdRS3JaVkNjMmZUbXZfLXo2QlBJNFJ3LXlMbUVoNU5kYUxwZmxEei1yZ1V4cGh4eU9yV0laUQ?oc=5
2026-09-21,BBRI,Bank Rakyat Indonesia,ok,22 Sep 13:01 WIB,Herald.ID,,"IHSG Tertekan 1,33 Persen, Saham BBRI hingga BYAN Jadi Pemberat Utama",https://news.google.com/rss/articles/CBMingFBVV95cUxPN1AzT3Q0VXZWTjlZWXBNMDhqT3VPbUZ1eG5BTEdNMDVZT0ZsQ3hValdBbEtxS0ozdXVlcmd1em9UdE1ROWNvX3NVenpLUHVqRVVUY0RRTldJTy0wYUFidEJyanJEdlIzdExnZkxNRi1scmpGZjhjT25ibHl2NFpjZkFOcmlnMGY5REtNSmxjZ2VPNFlzZUxscGFOeVVDQQ?oc=5
2026-09-21,BBRI,Bank Rakyat Indonesia,ok,22 Sep 11:05 WIB,Pintu,,Harga Saham BBRI Hari Ini 22 September 2026: Melemah ke Rp3.230,https://news.google.com/rss/articles/CBMigAFBVV95cUxOeVpRMnVUd1V2VWZZSWF3QVFlMzhKWXNaUFZjMjljVHZuUzNqcnhQUjFnZWpabWprbml3UzBVV3U3V2U0TlRqRE05OXVzT0hIVG1SNDVkU2dhRmViM3FmeFdvNWRWelpYRVBQQ3NYdGJ6bV9wd3d0LTF0MXlIYnVMOQ?oc=5
2026-09-21,BBRI,Bank Rakyat Indonesia,ok,22 Sep 09:49 WIB,bagikanberita.pikiran-rakyat.com,suspension/UMA,"Dukung Ekosistem Ekonomi Kreatif, BRI Bertindak Nyata Dorong Potensi Pegiat Kopi Rumahan di Jawa Barat - Bagikan Berita",https://news.google.com/rss/articles/CBMigAJBVV95cUxNQlpsUlI1V0ZSaVF1YmowcnYxamVYcGgybzVqSkNqUU5ZYm8yYlp6Mm9Ta3B0QkJ3b0pWZ1otYlhVclRzMVRiODVvN2FzVV9xNWZlM0VFOTg3TjNVYXlmZUI4OU1ZbDhCaVotWERrczdNRUxDMnlfLXp3YlJvU1NjeTVUY2RKVTlKcmJrSDRpczB2SThXNjQ2bm1vZmhIX0tGdzU1M0RMOXB4a2FTekpCeXUxUW01dmprVUFuSVVfMVBIcW9RVGVTV0xMMUxSdEcydlBfMkJhcnJQNk4zVDlUZkpGVGtpQzU3cEI1aDI5MDhJRlZYQ0s0UzJxb2t1dVdu0gGAAkFVX3lxTE1CWmxSUjVXRlJpUXViajBydjFqZVhwaDJvNWpKQ2pRTllibzJiWnoyb1NrcHRCQndvSlZnWi1iWFVyVHMxVGI4NW83YXNVX3E1ZmUzRUU5ODdOM1VheWZlQjg5TVlsOEJpWi1YRGtzN01FTEMyeV8tendiUm9TU2N5NVRjZEpVOUpyYmtINGlzMHZJOFc2NDZubW9maEhfS0Z3NTUzREw5cHhrYVN6SkJ5dTFRbTV2amtVQW5JVV8xUEhxb1FUZVNXTEwxTFJ0RzJ2UF8yQmFyclA2TjNUOVRmSkZUa2lDNTdwQjVoMjkwOElGVlhDSzRTMnFva3V1V24?oc=5
2026-09-21,BBRI,Bank Rakyat Indonesia,ok,22 Sep 09:36 WIB,BITV Online,,"IHSG Dibuka Menguat 0,35 Persen ke 6.406,81, BBRI hingga PGAS Justru Melemah",https://news.google.com/rss/articles/CBMitAFBVV95cUxQaVNRV2RyU1IwV2c2OUt5M0RfNTYxcmpNenJFdFE1Qk51emYzMHJYYnRhcTRmMXZaQXg2VnBScXFZbFFlQzI0a1dJNXdUTE1kclp5Z090NFZFcEg2ZHB5bGNZXzhwRmxFSjBGanlaM3U0NnhmWGZVU0lHN19xemJpTDNubXhwaHFfNmxONE50ZFBha1J5S3lVUDdtbVR6Z251d0ZLN1FBWDE1SHdaaE52VUlja3jSAbQBQVVfeXFMTVRWN01ZdWNyWWdUX0Qxa2FWUnBjekxmend1UlVncEM1QUhwc1Z4LWRiZHItSE5JUEc2VUVaTW9ucEgzX0ctZ2dWcnRBTEk2X1BaUU84S3B6QkZpV203OF9xSFN4OE5iQ0cwVWRGeU1oeVFvTmlLaXZ1eklXbkJCTlYzQUxOU3ZYMkoxY3BFeVJWMHdudzdWNHBObmJWalF0SFVfVDh3aWxjU2NyS3JYbV9CR1dE?oc=5
