Stock Code,Company Name,Previous,Open Price,High,Low,Close,Change,Volume,Value,Frequency,Foreign Buy,Foreign Sell
PNIN,Paninvest Tbk.,710.0,0.0,715.0,680.0,700.0,-10.0,1012000.0,697345000.0,200.0,16200.0,24900.0
PNLF,Panin Financial Tbk.,208.0,208.0,212.0,204.0,204.0,-4.0,32280500.0,6645172400.0,1164.0,5793000.0,5500200.0
PNSE,Pudjiadi & Sons Tbk.,482.0,0.0,486.0,480.0,480.0,-2.0,600.0,289200.0,4.0,0.0,0.0
POLA,Pool Advista Finance Tbk.,80.0,80.0,81.0,75.0,77.0,-3.0,21689100.0,1669205500.0,1942.0,625200.0,3427700.0
POLI,Pollux Hotels Group Tbk.,945.0,940.0,980.0,890.0,980.0,35.0,13900.0,12765500.0,40.0,1100.0,200.0
POLL,Pollux Properties Indonesia Tbk.,112.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
POLU,Golden Flower Tbk.,16875.0,16875.0,17800.0,15975.0,15975.0,-900.0,16900.0,273805000.0,131.0,0.0,0.0
POLY,Asia Pacific Fibers Tbk,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
POOL,Pool Advista Indonesia Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
PORT,Nusantara Pelabuhan Handal Tbk.,950.0,0.0,970.0,935.0,955.0,5.0,11200.0,10675000.0,25.0,0.0,2800.0
POSA,Bliss Properti Indonesia Tbk.,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
POWR,Cikarang Listrindo Tbk.,975.0,975.0,985.0,935.0,980.0,5.0,11967900.0,11361958000.0,2767.0,2077400.0,1850000.0
PPGL,Prima Globalindo Logistik Tbk.,468.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0
PPRE,PP Presisi Tbk.,104.0,104.0,106.0,101.0,104.0,0.0,21150400.0,2169825300.0,1914.0,1470100.0,2105300.0
PPRI,Paperocks Indonesia Tbk.,161.0,161.0,168.0,155.0,159.0,-2.0,2622600.0,420271000.0,523.0,203900.0,361600.0
PPRO,PP Properti Tbk.,16.0,0.0,15.0,15.0,15.0,-1.0,15410100.0,231151500.0,247.0,0.0,0.0
PRAY,Famon Awal Bros Sedaya Tbk.,800.0,795.0,855.0,780.0,785.0,-15.0,97000.0,78060000.0,125.0,6200.0,9100.0
